airline,duration,source,destination,stops,day_diff,day_of_week,day_of_month,month,price
Delta,303,Los Angeles,New York,0,12,4,24,5,320
American Airlines,375,Los Angeles,New York,1,10,6,21,4,344
American Airlines,261,Chicago,New York,0,10,5,27,1,348
United,444,Chicago,New York,2,41,4,17,5,313
United,375,San Francisco,Miami,0,16,6,14,4,386
American Airlines,336,Chicago,Los Angeles,2,11,5,15,6,372
Delta,357,Los Angeles,Miami,0,55,5,3,8,342
American Airlines,349,Miami,New York,2,24,5,13,7,409
United,279,San Francisco,Chicago,1,44,0,26,2,323
Delta,266,New York,Los Angeles,1,32,5,28,12,366
Delta,336,San Francisco,Los Angeles,1,60,4,9,8,380
Delta,387,Miami,New York,2,59,3,4,4,332
United,274,Chicago,Miami,2,23,5,17,8,346
United,322,Chicago,San Francisco,0,55,1,16,7,331
United,362,Miami,New York,2,18,3,25,1,389
Delta,286,Chicago,Los Angeles,1,16,4,19,4,323
United,263,Los Angeles,New York,2,14,3,26,9,335
United,296,San Francisco,Miami,1,44,0,17,6,323
American Airlines,280,Los Angeles,New York,1,15,0,11,11,391
American Airlines,256,San Francisco,Miami,1,33,5,31,8,324
United,259,San Francisco,Los Angeles,0,28,3,8,2,392
Delta,318,Los Angeles,Miami,2,57,4,13,12,314
Delta,365,Los Angeles,Chicago,0,21,5,20,4,361
Delta,376,Los Angeles,Miami,2,13,5,18,5,359
United,319,Chicago,Los Angeles,0,40,6,14,4,343
American Airlines,446,Los Angeles,San Francisco,0,47,5,16,3,319
American Airlines,327,San Francisco,Los Angeles,2,26,5,2,3,314
American Airlines,255,Miami,Chicago,2,28,4,1,3,387
American Airlines,291,New York,Chicago,2,52,6,18,8,336
United,395,Chicago,New York,1,36,1,25,6,382
United,375,Miami,New York,1,14,5,10,2,316
American Airlines,421,New York,San Francisco,2,14,0,10,6,368
American Airlines,438,New York,Los Angeles,1,44,4,6,12,317
American Airlines,314,New York,Chicago,0,35,2,17,4,396
American Airlines,415,New York,Miami,0,21,3,22,2,354
Delta,268,Chicago,San Francisco,0,15,4,18,10,315
United,371,New York,Miami,0,41,1,27,8,367
United,392,Los Angeles,Chicago,1,30,3,27,6,350
Delta,434,Miami,New York,1,42,1,15,10,377
United,292,San Francisco,Miami,0,60,0,29,1,326
United,269,San Francisco,Chicago,2,25,5,23,3,365
United,396,Los Angeles,San Francisco,2,43,5,24,2,359
American Airlines,301,San Francisco,Los Angeles,0,31,1,9,7,362
United,384,Los Angeles,Chicago,0,52,5,17,8,385
Delta,398,Chicago,Miami,1,12,1,27,2,352
Delta,319,New York,Los Angeles,0,12,4,9,8,317
United,342,San Francisco,New York,2,12,2,18,9,374
American Airlines,272,Chicago,San Francisco,0,55,0,11,3,371
American Airlines,422,Miami,Chicago,0,24,5,16,3,320
Delta,340,Miami,Chicago,1,15,6,1,9,347
United,274,Los Angeles,San Francisco,1,26,4,22,11,368
Delta,281,New York,Los Angeles,1,44,5,10,2,356
United,350,Los Angeles,New York,1,19,2,30,10,325
American Airlines,321,Los Angeles,San Francisco,1,24,2,13,11,372
United,254,Miami,Los Angeles,2,56,0,19,8,385
American Airlines,284,Miami,New York,1,28,6,26,5,374
American Airlines,251,Los Angeles,Miami,1,21,2,18,9,377
American Airlines,444,San Francisco,Miami,0,23,4,10,5,375
American Airlines,313,Miami,San Francisco,0,45,4,1,11,362
Delta,254,Los Angeles,San Francisco,1,38,2,1,5,375
Delta,364,New York,San Francisco,2,27,6,29,9,390
American Airlines,383,Miami,San Francisco,2,36,0,11,3,388
American Airlines,427,New York,Los Angeles,0,46,4,10,5,329
American Airlines,423,Miami,Chicago,0,45,2,9,10,332
Delta,330,Chicago,Los Angeles,2,33,4,7,6,357
Delta,431,Los Angeles,Miami,2,21,1,2,4,387
United,400,Miami,Chicago,2,52,0,8,7,369
Delta,324,New York,Los Angeles,0,43,4,22,11,324
Delta,253,New York,Chicago,0,23,4,19,7,381
Delta,361,New York,Los Angeles,0,43,3,4,4,382
American Airlines,252,Chicago,San Francisco,1,53,6,28,4,377
Delta,321,Chicago,Los Angeles,2,16,5,28,9,381
Delta,383,Chicago,Miami,0,28,5,21,12,305
Delta,257,Los Angeles,Miami,2,15,4,12,7,403
United,358,Los Angeles,New York,0,56,1,23,4,382
American Airlines,446,Chicago,Miami,1,12,1,17,9,353
American Airlines,271,San Francisco,Los Angeles,0,32,0,20,5,392
American Airlines,413,Chicago,Miami,2,13,4,1,11,398
American Airlines,272,Chicago,Los Angeles,2,16,5,8,6,339
American Airlines,294,Los Angeles,Chicago,1,42,5,24,2,351
United,293,San Francisco,Miami,0,27,2,8,5,322
American Airlines,266,Los Angeles,Chicago,1,15,4,19,1,360
American Airlines,255,San Francisco,Miami,2,44,1,13,8,367
United,285,San Francisco,New York,2,55,1,24,9,340
United,419,Chicago,New York,1,60,5,11,5,369
United,406,Los Angeles,San Francisco,2,42,1,14,5,320
American Airlines,416,New York,Miami,0,27,6,29,9,348
Delta,396,Los Angeles,San Francisco,1,19,4,21,6,412
United,443,Los Angeles,San Francisco,1,11,0,15,1,380
United,426,Chicago,Miami,0,19,1,27,2,361
Delta,275,San Francisco,Los Angeles,0,44,2,27,3,309
American Airlines,339,San Francisco,New York,1,43,6,10,3,355
American Airlines,267,Los Angeles,San Francisco,1,37,2,24,1,321
United,423,New York,Chicago,1,37,6,1,9,336
American Airlines,282,Chicago,Miami,0,37,0,2,9,373
American Airlines,352,San Francisco,Miami,0,34,3,14,3,381
Delta,365,San Francisco,Los Angeles,2,58,2,3,7,351
Delta,434,San Francisco,New York,0,33,1,2,4,307
Delta,377,Los Angeles,Chicago,2,23,0,11,11,320
United,318,San Francisco,Chicago,1,24,0,11,3,390
United,422,Miami,Chicago,0,60,1,12,3,338
United,394,San Francisco,Chicago,0,43,3,11,7,396
United,352,Chicago,Los Angeles,1,22,6,7,4,305
Delta,254,New York,Chicago,2,39,4,15,3,311
American Airlines,306,New York,Chicago,2,17,4,24,5,312
Delta,441,Miami,New York,0,49,0,9,12,374
American Airlines,323,New York,San Francisco,1,39,5,1,6,354
Delta,309,New York,Miami,1,15,3,18,7,374
Delta,397,Los Angeles,Miami,0,33,1,20,8,328
American Airlines,382,Chicago,New York,1,49,4,7,6,391
American Airlines,281,Los Angeles,New York,2,46,2,6,3,316
Delta,296,New York,Miami,0,24,0,30,12,315
United,331,New York,Chicago,2,19,0,19,2,375
American Airlines,356,San Francisco,Miami,0,50,3,14,11,348
United,280,Chicago,San Francisco,2,47,5,7,9,373
United,422,New York,Miami,2,54,5,21,9,326
American Airlines,386,Chicago,New York,1,34,4,3,5,335
Delta,427,New York,Chicago,2,54,0,1,4,396
Delta,379,New York,Los Angeles,2,39,1,10,12,342
American Airlines,373,San Francisco,Miami,0,19,0,15,7,375
Delta,388,New York,Chicago,0,60,0,9,9,328
United,432,Los Angeles,San Francisco,0,38,1,4,6,366
American Airlines,332,Chicago,New York,2,60,1,2,4,374
Delta,349,New York,Los Angeles,1,13,4,10,5,358
United,253,Los Angeles,New York,2,57,3,8,2,359
Delta,294,San Francisco,New York,0,18,2,18,12,330
Delta,343,Chicago,Los Angeles,1,32,6,10,3,314
American Airlines,250,Miami,Los Angeles,2,14,2,14,2,350
United,426,Los Angeles,Chicago,2,39,4,7,6,329
American Airlines,262,San Francisco,Chicago,2,40,6,11,8,322
Delta,283,New York,San Francisco,2,52,5,12,10,331
Delta,278,Chicago,New York,0,56,3,6,6,347
American Airlines,264,Los Angeles,Miami,0,13,4,26,7,362
Delta,354,Los Angeles,New York,2,49,3,4,4,311
United,344,Miami,Los Angeles,0,58,0,25,11,301
Delta,401,Chicago,Los Angeles,2,15,4,9,2,376
United,288,Chicago,New York,0,23,3,8,8,334
United,394,New York,Los Angeles,2,43,2,20,3,354
United,291,New York,Miami,0,49,5,26,10,313
Delta,340,Los Angeles,San Francisco,1,53,4,9,2,343
United,267,San Francisco,Chicago,0,39,0,5,2,341
American Airlines,401,New York,Los Angeles,0,35,5,12,10,369
Delta,440,Miami,Chicago,1,50,6,17,3,356
American Airlines,330,Los Angeles,San Francisco,1,52,1,7,5,385
Delta,288,Chicago,Los Angeles,2,34,2,12,6,343
Delta,330,Chicago,Los Angeles,1,26,4,8,3,332
American Airlines,425,Chicago,New York,1,44,1,26,11,387
American Airlines,315,Chicago,Los Angeles,2,30,3,7,11,343
American Airlines,279,Chicago,Los Angeles,1,40,3,8,2,348
United,443,Chicago,Los Angeles,1,52,4,9,8,365
American Airlines,422,San Francisco,Miami,1,32,5,27,7,353
American Airlines,322,Los Angeles,New York,1,57,0,9,9,336
United,269,Miami,Los Angeles,2,28,1,10,9,390
American Airlines,327,New York,San Francisco,1,34,4,5,7,346
Delta,324,Los Angeles,Miami,2,13,4,27,12,351
Delta,326,Los Angeles,Miami,2,44,0,27,5,418
United,444,New York,Chicago,1,56,1,24,9,398
Delta,257,Chicago,Los Angeles,2,24,1,30,7,398
United,429,San Francisco,New York,2,57,2,14,2,369
United,350,Los Angeles,Miami,0,53,0,11,11,319
United,438,Chicago,Los Angeles,2,28,6,14,4,317
Delta,411,Miami,Chicago,0,33,2,5,6,374
United,347,Los Angeles,New York,2,36,0,11,11,305
American Airlines,252,New York,San Francisco,0,31,3,13,6,387
United,344,New York,Miami,0,12,1,16,4,380
Delta,283,Los Angeles,New York,0,26,2,4,12,305
United,352,Chicago,Miami,0,44,3,29,2,297
American Airlines,448,Chicago,Los Angeles,0,23,0,27,5,360
American Airlines,304,New York,Los Angeles,2,55,3,28,3,381
American Airlines,334,New York,Miami,2,34,2,24,4,385
United,362,New York,San Francisco,1,14,2,3,4,382
United,411,Chicago,San Francisco,2,17,3,4,4,308
American Airlines,342,San Francisco,Chicago,0,43,5,21,12,325
United,347,Miami,Chicago,0,30,4,6,9,357
United,343,Chicago,New York,0,36,5,18,5,361
United,355,Chicago,Los Angeles,2,11,2,10,1,291
American Airlines,302,San Francisco,New York,0,44,0,26,8,365
United,349,San Francisco,Los Angeles,2,21,3,18,7,396
American Airlines,334,New York,Chicago,0,22,5,9,11,320
Delta,439,Miami,San Francisco,0,35,3,15,8,331
United,393,Los Angeles,Chicago,1,44,2,28,8,364
United,381,San Francisco,Miami,1,48,6,1,12,354
American Airlines,322,San Francisco,Chicago,1,18,0,6,5,364
American Airlines,430,San Francisco,New York,1,19,2,24,1,300
United,372,New York,Chicago,0,35,5,6,4,347
Delta,321,Los Angeles,New York,1,28,2,20,3,352
American Airlines,275,New York,Los Angeles,1,31,1,3,12,342
American Airlines,320,San Francisco,Chicago,2,50,6,22,9,347
Delta,257,New York,San Francisco,2,59,0,10,6,336
American Airlines,256,Los Angeles,Chicago,1,39,0,19,2,390
