airline,duration,source,destination,stops,day_diff,day_of_week,day_of_month,month,price
Delta,414,Miami,Los Angeles,0,57,1,24,12,372
Delta,398,New York,Miami,1,27,5,1,6,380
Delta,364,San Francisco,New York,1,58,6,8,12,326
American Airlines,393,Los Angeles,New York,2,59,6,7,1,366
Delta,304,San Francisco,Chicago,0,26,1,16,1,323
United,326,Los Angeles,Chicago,2,12,4,22,11,395
American Airlines,285,Miami,San Francisco,2,21,0,22,7,329
American Airlines,293,New York,Miami,2,60,3,26,12,355
Delta,380,Chicago,New York,2,20,3,1,2,304
United,308,Los Angeles,Chicago,0,35,5,20,4,367
Delta,277,San Francisco,New York,2,56,2,9,10,331
United,364,Chicago,Los Angeles,1,16,0,23,9,347
American Airlines,414,New York,San Francisco,0,15,2,20,11,398
United,368,Chicago,Miami,1,49,0,9,9,378
Delta,255,Chicago,New York,1,28,5,21,12,350
American Airlines,357,Miami,Los Angeles,2,39,2,4,9,365
United,274,New York,Chicago,0,54,0,16,9,407
American Airlines,348,Miami,Los Angeles,2,49,3,8,2,354
United,392,San Francisco,New York,1,24,4,1,3,315
American Airlines,300,Chicago,New York,1,37,3,16,5,320
American Airlines,346,San Francisco,Miami,1,39,3,2,5,380
American Airlines,402,San Francisco,Los Angeles,2,60,4,5,1,371
American Airlines,272,Miami,San Francisco,0,21,4,26,4,365
American Airlines,270,San Francisco,Chicago,1,45,5,6,1,316
United,445,New York,Los Angeles,2,24,3,18,7,369
United,427,Miami,Los Angeles,1,17,5,14,9,398
Delta,315,New York,Los Angeles,0,43,0,3,6,410
American Airlines,358,New York,Chicago,1,18,4,3,5,319
Delta,267,Los Angeles,Chicago,2,16,2,27,11,397
United,409,San Francisco,Los Angeles,2,57,2,10,1,363
American Airlines,296,New York,Los Angeles,0,46,5,22,6,334
Delta,428,Chicago,New York,1,25,0,15,7,381
Delta,381,Miami,New York,1,48,3,17,10,336
United,348,San Francisco,Chicago,2,17,3,14,3,331
American Airlines,391,New York,Los Angeles,2,15,3,18,7,327
United,294,San Francisco,New York,0,53,6,5,5,346
Delta,436,New York,Los Angeles,0,41,2,14,2,346
United,267,Los Angeles,Chicago,0,59,6,14,7,358
American Airlines,354,Los Angeles,Miami,0,36,4,18,10,324
United,331,Miami,New York,2,19,1,9,7,361
Delta,393,Los Angeles,San Francisco,2,32,1,17,9,323
Delta,417,Miami,New York,2,23,1,12,3,300
United,285,Los Angeles,New York,0,54,5,20,1,388
United,341,Los Angeles,Miami,0,50,2,20,3,344
United,415,San Francisco,Chicago,2,22,4,12,7,396
Delta,403,San Francisco,Los Angeles,2,39,6,22,12,296
United,359,Chicago,Miami,0,13,0,29,7,388
American Airlines,337,Los Angeles,Chicago,1,30,2,24,4,371
Delta,330,New York,San Francisco,2,55,4,19,4,361
United,336,San Francisco,Los Angeles,2,31,4,9,8,378
Delta,424,Los Angeles,New York,0,25,2,21,8,350
American Airlines,311,Miami,Los Angeles,1,29,5,13,1,361
American Airlines,400,New York,Los Angeles,1,18,1,26,11,364
United,445,Chicago,Los Angeles,2,42,6,4,8,376
United,401,New York,Los Angeles,2,23,4,3,5,395
United,381,Los Angeles,San Francisco,2,45,4,2,8,350
United,296,Chicago,New York,0,20,0,27,5,413
United,336,New York,San Francisco,1,53,0,8,1,326
United,250,Los Angeles,San Francisco,2,36,1,13,8,366
American Airlines,438,New York,Los Angeles,1,50,5,24,8,407
Delta,424,San Francisco,Los Angeles,2,36,1,30,4,400
American Airlines,284,Miami,San Francisco,2,16,2,26,6,367
American Airlines,266,New York,Los Angeles,0,45,5,27,7,409
United,306,Chicago,San Francisco,0,33,6,22,9,362
United,316,Chicago,Los Angeles,0,24,2,14,8,403
American Airlines,374,San Francisco,Los Angeles,2,24,5,19,10,395
Delta,345,Los Angeles,New York,0,41,2,16,10,355
Delta,282,New York,Los Angeles,2,53,3,2,5,375
American Airlines,268,Los Angeles,San Francisco,1,60,2,18,12,322
American Airlines,360,Los Angeles,New York,1,43,3,29,8,373
American Airlines,399,San Francisco,New York,1,57,3,14,3,367
American Airlines,427,San Francisco,New York,1,37,2,4,9,402
United,398,New York,Chicago,1,12,2,17,7,416
American Airlines,380,Chicago,Miami,0,24,0,25,3,323
American Airlines,374,Chicago,Los Angeles,2,58,3,7,3,323
Delta,333,Los Angeles,San Francisco,0,43,1,4,6,393
United,258,Miami,Los Angeles,1,44,3,23,5,388
American Airlines,292,Chicago,Los Angeles,0,20,3,10,10,323
United,323,Los Angeles,Miami,0,33,5,27,4,384
United,255,Chicago,San Francisco,0,26,5,2,3,378
United,448,San Francisco,Chicago,1,37,1,30,1,338
American Airlines,363,Chicago,Los Angeles,0,50,3,4,7,442
American Airlines,447,Chicago,Miami,0,47,5,6,1,323
Delta,271,New York,San Francisco,2,26,1,29,10,313
United,269,Los Angeles,Chicago,1,29,2,17,7,345
United,272,New York,Los Angeles,2,39,0,17,6,414
Delta,425,New York,San Francisco,2,50,3,7,11,320
American Airlines,304,Chicago,Miami,2,16,1,20,2,342
Delta,313,Miami,Chicago,1,55,6,1,12,362
American Airlines,250,Chicago,Miami,1,44,1,14,5,349
United,321,New York,Chicago,2,34,5,3,2,320
American Airlines,417,Miami,New York,1,45,3,5,12,299
Delta,405,Los Angeles,New York,2,39,3,29,2,348
Delta,332,Miami,Chicago,0,45,1,28,5,325
Delta,365,New York,Miami,1,16,4,22,3,381
United,391,New York,Los Angeles,0,53,3,14,3,331
American Airlines,376,Miami,San Francisco,1,48,1,12,11,359
American Airlines,394,Miami,Los Angeles,0,17,1,15,10,353
Delta,313,Los Angeles,Miami,1,48,5,2,3,311
United,439,Los Angeles,San Francisco,0,30,0,27,5,354
American Airlines,447,San Francisco,Los Angeles,0,41,5,2,3,388
Delta,307,Los Angeles,San Francisco,1,29,1,16,1,321
United,322,Los Angeles,New York,0,28,3,4,4,385
Delta,379,Miami,Chicago,2,30,0,23,9,325
American Airlines,440,Los Angeles,New York,1,38,2,18,12,319
United,370,Miami,Chicago,0,60,5,20,1,355
Delta,384,Miami,Los Angeles,1,10,2,19,6,337
American Airlines,438,Chicago,Miami,0,21,3,14,11,354
United,255,San Francisco,Miami,1,15,3,30,5,366
United,258,San Francisco,Chicago,2,12,3,13,6,373
American Airlines,294,New York,San Francisco,0,19,2,7,8,352
Delta,319,Miami,San Francisco,1,30,4,11,10,340
Delta,374,Miami,Los Angeles,0,38,4,24,5,367
United,305,San Francisco,Chicago,2,58,3,28,11,389
Delta,270,Chicago,Los Angeles,1,60,5,21,9,359
Delta,315,San Francisco,New York,2,56,1,16,4,400
American Airlines,275,Miami,Los Angeles,2,46,5,2,11,303
American Airlines,418,San Francisco,Miami,1,53,3,5,12,312
American Airlines,311,Chicago,Miami,1,17,5,27,4,332
American Airlines,300,San Francisco,Miami,1,13,2,26,6,378
