airline,duration,source,destination,stops,day_diff,day_of_week,day_of_month,month,price
Delta,326,Los Angeles,Miami,0,25,2,28,2,338
Delta,316,New York,Chicago,1,34,4,16,8,401
American Airlines,331,New York,San Francisco,1,24,3,19,9,347
United,275,Miami,Los Angeles,0,50,2,3,1,385
United,395,Miami,San Francisco,2,17,2,9,10,395
United,423,Miami,New York,0,56,5,25,5,366
American Airlines,279,Los Angeles,San Francisco,1,17,6,8,9,342
United,410,San Francisco,Chicago,0,23,1,11,6,406
Delta,335,New York,San Francisco,2,48,4,28,6,375
United,438,Los Angeles,New York,0,23,0,30,12,321
American Airlines,297,San Francisco,Los Angeles,0,34,6,8,12,300
American Airlines,446,Los Angeles,San Francisco,1,26,6,22,9,389
United,299,Chicago,San Francisco,0,11,0,30,9,391
United,400,Los Angeles,New York,0,12,2,4,12,333
American Airlines,423,San Francisco,Miami,0,39,5,31,8,325
Delta,433,Miami,Chicago,1,51,1,20,2,323
American Airlines,294,Chicago,Los Angeles,1,60,1,7,5,345
American Airlines,273,Los Angeles,San Francisco,2,32,6,19,5,334
Delta,264,Los Angeles,Chicago,1,27,0,1,4,399
United,336,San Francisco,Miami,0,51,5,22,6,401
United,449,New York,Los Angeles,2,29,5,28,12,318
Delta,425,Miami,New York,0,54,1,15,10,368
Delta,409,Miami,San Francisco,2,19,5,26,10,358
Delta,288,New York,San Francisco,0,40,3,26,12,331
American Airlines,270,San Francisco,New York,1,31,3,21,11,328
United,333,New York,Chicago,1,22,5,13,1,303
Delta,320,Los Angeles,San Francisco,0,59,5,3,8,380
American Airlines,379,New York,San Francisco,1,31,4,28,6,407
United,439,Los Angeles,San Francisco,2,49,0,23,12,379
United,399,Los Angeles,New York,0,26,2,3,4,337
American Airlines,269,San Francisco,New York,0,32,3,10,10,346
United,413,New York,Chicago,2,15,6,25,2,383
American Airlines,409,San Francisco,New York,1,49,6,23,6,375
United,263,San Francisco,New York,2,41,5,1,6,363
Delta,373,New York,Chicago,2,55,5,16,11,380
American Airlines,378,Miami,Chicago,1,19,3,29,8,354
American Airlines,265,Chicago,Miami,2,58,0,27,5,378
Delta,362,Chicago,New York,1,48,6,16,6,324
Delta,302,Los Angeles,Chicago,2,58,1,8,10,323
