airline,duration,source,destination,stops,day_diff,day_of_week,day_of_month,month,price
American Airlines,418,New York,Miami,2,12,1,4,6,374
American Airlines,337,New York,San Francisco,1,32,1,17,9,385
United,403,Miami,New York,0,24,0,25,11,345
Delta,352,San Francisco,Miami,2,47,5,22,6,393
American Airlines,305,Los Angeles,New York,1,21,0,19,8,363
United,375,Chicago,New York,0,10,2,24,7,390
United,340,Miami,San Francisco,1,26,4,16,8,391
United,381,San Francisco,Los Angeles,2,16,4,5,1,308
Delta,337,New York,San Francisco,0,60,6,15,9,399
Delta,285,Los Angeles,San Francisco,0,14,6,28,1,381
United,338,Chicago,New York,2,34,6,26,5,311
United,308,Miami,San Francisco,0,22,6,21,1,307
United,449,New York,Los Angeles,2,34,5,12,10,327
United,423,Los Angeles,Chicago,2,41,4,8,11,301
Delta,439,San Francisco,Los Angeles,2,30,3,26,12,379
American Airlines,325,New York,San Francisco,0,39,0,5,2,388
United,403,San Francisco,Miami,2,35,3,25,7,406
Delta,388,Los Angeles,San Francisco,0,50,6,28,7,360
United,439,New York,San Francisco,1,30,3,24,10,349
Delta,362,Los Angeles,San Francisco,0,45,4,15,3,362
United,275,Miami,Los Angeles,1,44,1,22,10,401
American Airlines,256,Los Angeles,San Francisco,2,46,4,26,7,327
Delta,378,Los Angeles,San Francisco,0,24,6,28,4,320
Delta,293,Miami,Los Angeles,2,55,1,3,9,338
American Airlines,327,Miami,New York,0,12,3,4,7,440
American Airlines,339,Chicago,Miami,1,60,6,29,12,355
American Airlines,439,Los Angeles,Chicago,2,34,5,21,9,398
Delta,309,New York,San Francisco,0,26,2,6,11,374
United,344,Miami,Chicago,2,57,0,22,7,407
Delta,290,San Francisco,Chicago,2,38,4,21,6,371
American Airlines,429,San Francisco,Los Angeles,2,30,4,11,10,359
Delta,370,New York,Miami,0,27,0,13,5,350
American Airlines,378,Chicago,New York,2,56,6,5,5,333
United,266,Chicago,Los Angeles,1,54,6,21,4,312
United,433,Los Angeles,Miami,0,53,6,22,9,379
American Airlines,254,San Francisco,Los Angeles,1,54,6,12,5,311
United,343,Los Angeles,San Francisco,0,19,1,27,2,378
United,338,San Francisco,Chicago,0,33,3,28,3,372
United,368,Los Angeles,Chicago,1,24,6,4,8,400
United,407,Los Angeles,San Francisco,1,31,0,23,12,308
United,371,San Francisco,New York,0,28,4,8,3,354
Delta,353,Los Angeles,San Francisco,2,57,5,16,11,320
Delta,437,Los Angeles,Miami,0,10,2,20,11,389
United,254,San Francisco,New York,1,49,6,22,12,295
Delta,450,Miami,New York,2,44,5,7,12,356
American Airlines,260,San Francisco,Chicago,1,45,2,3,7,359
Delta,411,Los Angeles,Miami,2,24,2,28,8,354
American Airlines,352,New York,San Francisco,2,32,3,18,1,316
American Airlines,289,Chicago,Miami,2,24,0,23,9,375
Delta,294,Los Angeles,Chicago,2,10,6,7,1,385
Delta,276,Miami,Los Angeles,2,38,4,4,10,395
American Airlines,417,Chicago,Miami,1,28,2,8,5,406
American Airlines,280,Los Angeles,Miami,1,16,4,6,12,330
American Airlines,349,Los Angeles,Miami,2,11,6,14,1,336
Delta,278,New York,Miami,1,35,1,9,4,349
American Airlines,386,Los Angeles,San Francisco,2,33,4,21,6,406
American Airlines,412,New York,Chicago,0,58,1,23,7,419
United,281,Los Angeles,Miami,2,23,5,5,10,343
