airline,duration,source,destination,stops,day_diff,day_of_week,day_of_month,month,price
IndiGo,50,COK,TRV,0,0,3,25,4,6435
Air India,565,COK,TRV,1,0,3,25,4,14631
Air India,685,COK,TRV,2,0,3,25,4,17561
Air India,1460,COK,TRV,1,0,3,25,4,9601
Air India,720,COK,TRV,1,0,3,25,4,13948
Air India,1430,COK,TRV,1,0,3,25,4,13948
Air India,645,COK,TRV,1,0,3,25,4,14631
Air India,1720,COK,TRV,1,0,3,25,4,14631
Air India,1640,COK,TRV,1,0,3,25,4,14631
Air India,1315,COK,TRV,1,0,3,25,4,14631
Air India,1680,COK,TRV,1,0,3,25,4,14631
Air India,2090,COK,TRV,2,0,3,25,4,17424
Air India,1090,COK,TRV,2,0,3,25,4,17561
Air India,1800,COK,TRV,2,0,3,25,4,17561
Air India,1010,COK,TRV,2,0,3,25,4,17561
Air India,1720,COK,TRV,2,0,3,25,4,17561
Air India,1395,COK,TRV,2,0,3,25,4,17561
Air India,1800,COK,TRV,2,0,3,25,4,17666
Air India,1720,COK,TRV,2,0,3,25,4,17666
Air India,1395,COK,TRV,2,0,3,25,4,17666
Air India,1090,COK,TRV,2,0,3,25,4,18086
Air India,1800,COK,TRV,2,0,3,25,4,18086
Air India,1800,COK,TRV,2,0,3,25,4,18086
Air India,1800,COK,TRV,2,0,3,25,4,18086
Air India,1010,COK,TRV,2,0,3,25,4,18086
Air India,1720,COK,TRV,2,0,3,25,4,18086
Air India,1720,COK,TRV,2,0,3,25,4,18086
Air India,1720,COK,TRV,2,0,3,25,4,18086
Air India,1395,COK,TRV,2,0,3,25,4,18086
Air India,1395,COK,TRV,2,0,3,25,4,18086
Air India,1800,COK,TRV,2,0,3,25,4,18695
Air India,1800,COK,TRV,2,0,3,25,4,18695
Air India,1720,COK,TRV,2,0,3,25,4,18695
Air India,1720,COK,TRV,2,0,3,25,4,18695
Air India,1395,COK,TRV,2,0,3,25,4,18695
Air India,1395,COK,TRV,2,0,3,25,4,18695
Air India,665,COK,TRV,1,0,3,25,4,19371
Air India,1375,COK,TRV,1,0,3,25,4,19371
Air India,1015,COK,TRV,2,0,3,25,4,19713
Air India,2090,COK,TRV,2,0,3,25,4,19713
Air India,2090,COK,TRV,2,0,3,25,4,19857
Air India,2090,COK,TRV,2,0,3,25,4,20763
Air India,2090,COK,TRV,2,0,3,25,4,20763
Air India,2090,COK,TRV,2,0,3,25,4,20973
Air India,1090,COK,TRV,2,0,3,25,4,21425
Air India,1090,COK,TRV,2,0,3,25,4,21425
Air India,1010,COK,TRV,2,0,3,25,4,21425
Air India,1090,COK,TRV,2,0,3,25,4,21635
Air India,1010,COK,TRV,2,0,3,25,4,21635
Air India,1350,COK,TRV,2,0,3,25,4,21771
Air India,1715,COK,TRV,2,0,3,25,4,21771
Air India,1015,COK,TRV,2,0,3,25,4,22391
SriLankan,1380,COK,TRV,1,0,3,25,4,22569
Air India,2090,COK,TRV,2,0,3,25,4,22780
Air India,1350,COK,TRV,2,0,3,25,4,23850
Air India,1350,COK,TRV,2,0,3,25,4,23850
Air India,1715,COK,TRV,2,0,3,25,4,23850
Air India,1715,COK,TRV,2,0,3,25,4,23850
Air India,1715,COK,TRV,2,0,3,25,4,23850
Air India,1715,COK,TRV,2,0,3,25,4,23850
Air India,1715,COK,TRV,2,0,3,25,4,24060
Air India,1350,COK,TRV,2,0,3,25,4,25110
Air India,1350,COK,TRV,2,0,3,25,4,25110
Air India,1715,COK,TRV,2,0,3,25,4,25110
Air India,1715,COK,TRV,2,0,3,25,4,25110
Air India,1350,COK,TRV,2,0,3,25,4,25320
Air India,1715,COK,TRV,2,0,3,25,4,25320
Air India,1295,COK,TRV,2,0,3,25,4,27194
Air India,1660,COK,TRV,2,0,3,25,4,27194
Air India,1015,COK,TRV,2,0,3,25,4,28428
Air India,730,COK,TRV,1,0,3,25,4,28711
Air India,1295,COK,TRV,2,0,3,25,4,29273
Air India,1295,COK,TRV,2,0,3,25,4,29273
Air India,1295,COK,TRV,2,0,3,25,4,30533
Air India,1295,COK,TRV,2,0,3,25,4,30533
Air India,1295,COK,TRV,2,0,3,25,4,30743
Air Arabia,715,COK,TRV,1,0,3,25,4,47425
Etihad,980,COK,TRV,1,0,3,25,4,50192
Air Arabia,1815,COK,TRV,1,0,3,25,4,50370
Oman Air,980,COK,TRV,1,0,3,25,4,51282
Etihad,640,COK,TRV,1,0,3,25,4,51882
Etihad,2080,COK,TRV,1,0,3,25,4,53735
Oman Air,1385,COK,TRV,1,0,3,25,4,55088
Air Arabia,1585,COK,TRV,1,0,3,25,4,61479
Air Arabia,1245,COK,TRV,1,0,3,25,4,63170
Air India,865,COK,TRV,2,0,3,25,4,65256
IndiGo,2020,COK,TRV,1,0,3,25,4,70037
Etihad,1005,COK,TRV,2,0,3,25,4,70150
Air Arabia,670,COK,TRV,1,0,3,25,4,82884
IndiGo,50,COK,TRV,0,5,1,30,4,4125
Air India,480,COK,TRV,1,5,1,30,4,10284
Air India,730,COK,TRV,1,5,1,30,4,9533
Air India,1430,COK,TRV,1,5,1,30,4,11570
Air India,1375,COK,TRV,1,5,1,30,4,11570
Air India,1460,COK,TRV,1,5,1,30,4,12646
Air India,1210,COK,TRV,1,5,1,30,4,13397
Air India,720,COK,TRV,1,5,1,30,4,13896
Air India,665,COK,TRV,1,5,1,30,4,13896
Air India,1240,COK,TRV,3,5,1,30,4,15334
Air India,1240,COK,TRV,3,5,1,30,4,15439
Air India,1550,COK,TRV,3,5,1,30,4,16006
Air India,1550,COK,TRV,3,5,1,30,4,16216
Air India,1550,COK,TRV,3,5,1,30,4,16216
Air India,1550,COK,TRV,3,5,1,30,4,16321
Air India,755,COK,TRV,1,5,1,30,4,16731
Air India,1120,COK,TRV,1,5,1,30,4,16731
Air India,650,COK,TRV,2,5,1,30,4,18752
Air India,1015,COK,TRV,2,5,1,30,4,18752
Air India,1015,COK,TRV,2,5,1,30,4,18752
Air India,1150,COK,TRV,3,5,1,30,4,18873
Air India,1150,COK,TRV,3,5,1,30,4,18873
Air India,1660,COK,TRV,3,5,1,30,4,19111
Air India,1015,COK,TRV,2,5,1,30,4,19288
Air India,1715,COK,TRV,2,5,1,30,4,19477
Air India,1660,COK,TRV,2,5,1,30,4,19477
Air India,1525,COK,TRV,3,5,1,30,4,19482
Air India,1015,COK,TRV,2,5,1,30,4,19592
Air India,835,COK,TRV,2,5,1,30,4,19818
Air India,1015,COK,TRV,2,5,1,30,4,19960
Air India,1715,COK,TRV,2,5,1,30,4,20002
Air India,1715,COK,TRV,2,5,1,30,4,20002
Air India,1660,COK,TRV,2,5,1,30,4,20002
Air India,1660,COK,TRV,2,5,1,30,4,20002
Air India,1205,COK,TRV,3,5,1,30,4,20038
Air India,1205,COK,TRV,3,5,1,30,4,20038
Air India,765,COK,TRV,2,5,1,30,4,20039
Air India,1525,COK,TRV,3,5,1,30,4,20133
Air India,1660,COK,TRV,2,5,1,30,4,20212
