airline,duration,source,destination,stops,day_diff,day_of_week,day_of_month,month,price
IndiGo,50,COK,TRV,0,0,1,23,4,8430
Air India,480,COK,TRV,1,0,1,23,4,8766
Air India,720,COK,TRV,1,0,1,23,4,12819
Air India,685,COK,TRV,2,0,1,23,4,18049
Air India,1210,COK,TRV,1,0,1,23,4,8766
Air India,730,COK,TRV,1,0,1,23,4,10620
Air India,1460,COK,TRV,1,0,1,23,4,10620
Air India,1430,COK,TRV,1,0,1,23,4,12819
Air India,1315,COK,TRV,1,0,1,23,4,15833
Air India,1680,COK,TRV,1,0,1,23,4,15833
Air India,1530,COK,TRV,3,0,1,23,4,17261
Air India,1530,COK,TRV,3,0,1,23,4,17261
Air India,1840,COK,TRV,2,0,1,23,4,17618
Air India,1395,COK,TRV,2,0,1,23,4,17629
Air India,2125,COK,TRV,2,0,1,23,4,17629
Air India,1395,COK,TRV,2,0,1,23,4,18049
Air India,2125,COK,TRV,2,0,1,23,4,18049
Air India,2125,COK,TRV,2,0,1,23,4,18049
Air India,665,COK,TRV,1,0,1,23,4,18243
Air India,1375,COK,TRV,1,0,1,23,4,18243
Air India,2125,COK,TRV,2,0,1,23,4,18658
Air India,1840,COK,TRV,2,0,1,23,4,18752
Air India,2125,COK,TRV,2,0,1,23,4,18763
Air India,1395,COK,TRV,3,0,1,23,4,18901
Air India,1610,COK,TRV,3,0,1,23,4,19104
Air India,1395,COK,TRV,2,0,1,23,4,19183
Air India,2125,COK,TRV,2,0,1,23,4,19183
Air India,765,COK,TRV,3,0,1,23,4,19461
Air India,2090,COK,TRV,2,0,1,23,4,19466
Air India,1610,COK,TRV,3,0,1,23,4,19576
Air India,1840,COK,TRV,2,0,1,23,4,19592
Air India,1610,COK,TRV,3,0,1,23,4,19744
Air India,1840,COK,TRV,2,0,1,23,4,19802
Air India,2205,COK,TRV,2,0,1,23,4,19802
Air India,1395,COK,TRV,2,0,1,23,4,20501
Air India,2125,COK,TRV,2,0,1,23,4,20501
Air India,2125,COK,TRV,2,0,1,23,4,20501
Air India,1840,COK,TRV,2,0,1,23,4,20852
Air India,1015,COK,TRV,3,0,1,23,4,21314
Air India,2090,COK,TRV,2,0,1,23,4,21440
Air India,2090,COK,TRV,2,0,1,23,4,21650
Air India,1350,COK,TRV,2,0,1,23,4,21666
Air India,1715,COK,TRV,2,0,1,23,4,21666
Air India,1395,COK,TRV,2,0,1,23,4,21761
Air India,1085,COK,TRV,3,0,1,23,4,22065
Air India,1550,COK,TRV,3,0,1,23,4,22374
Air India,1550,COK,TRV,3,0,1,23,4,22374
Air India,1550,COK,TRV,3,0,1,23,4,22374
Air India,765,COK,TRV,2,0,1,23,4,22427
Air India,765,COK,TRV,2,0,1,23,4,22427
Air India,765,COK,TRV,2,0,1,23,4,22637
Air India,2090,COK,TRV,2,0,1,23,4,22700
Air India,1350,COK,TRV,2,0,1,23,4,22800
Air India,1715,COK,TRV,2,0,1,23,4,22800
Air India,1715,COK,TRV,2,0,1,23,4,23010
Air India,1715,COK,TRV,2,0,1,23,4,23640
Air India,1350,COK,TRV,2,0,1,23,4,23850
Air India,1715,COK,TRV,2,0,1,23,4,23850
Air India,1015,COK,TRV,2,0,1,23,4,24275
Air India,1015,COK,TRV,2,0,1,23,4,24275
Air India,1015,COK,TRV,2,0,1,23,4,24275
Air India,1015,COK,TRV,2,0,1,23,4,24485
Air India,1350,COK,TRV,2,0,1,23,4,24900
Air India,1715,COK,TRV,2,0,1,23,4,24900
Air India,1715,COK,TRV,2,0,1,23,4,24900
Air India,650,COK,TRV,2,0,1,23,4,25010
Air India,1015,COK,TRV,2,0,1,23,4,25850
